what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657167187
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1524657169841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1524657170746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1524657172853
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524657173868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657175428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657187353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657187885
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657191431
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1524657194695
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1524657194695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657196180
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657197413
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1524657197710
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1524657197741
error,log,,,"No Byte Stream Services found for Nios II Console View",1524657199256
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1524657199318
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1524657199334
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1524657208097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657217758
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657486061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657486077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657489544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657493747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657632103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657635255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524657662694
