what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1525699441160
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1525699441179
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1525699441207
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1525699441242
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1525699441276
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1525699441282
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1525699441282
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1525699441304
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1525699441310
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1525699441334
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1525699441347
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1525699441364
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1525699441365
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1525699441394
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1525699441409
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1525699441461
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1525699441480
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1525699441517
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1525699441538
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1525699441575
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1525699441604
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1525699441604
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1525699441606
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1525699441607
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1525699441638
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1525699441660
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1525699441685
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1525699441753
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1525699441780
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1525699441867
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1525699441921
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1525699441922
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1525699441946
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1525699441946
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1525699441946
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1525699441946
os,sysinfo,,,"win32",1525699441948
arch,sysinfo,,,"x86",1525699441948
ws,sysinfo,,,"win32",1525699441948
locale,sysinfo,,,"pt_BR",1525699441948
processors,sysinfo,,,"4",1525699441948
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1525699441948
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1525699441948
java.specification.name,sysinfo,,,"Java Platform API Specification",1525699441948
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1525699441948
java.specification.version,sysinfo,,,"1.6",1525699441948
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1525699441948
java.version,sysinfo,,,"1.6.0_23",1525699441948
java.vm.info,sysinfo,,,"mixed mode",1525699441948
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1525699441948
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1525699441948
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1525699441948
java.vm.specification.version,sysinfo,,,"1.0",1525699441948
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1525699441948
java.vm.version,sysinfo,,,"19.0-b09",1525699441948
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1525699443454
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1525699443871
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1525699443995
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1525699444950
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1525699445091
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1525699445528
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525699445713
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1525699446537
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1525699446573
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1525699446575
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1525699446575
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699447598
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1525699464580
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1525699470299
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1525699470515
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1525699470683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1525699480955
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1525699494820
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1525699494950
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1525699496306
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1525699499455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699505771
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1525699686164
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1525699687492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699687564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699687919
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1525699687922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1525699687922
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699688668
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699688948
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1525699688951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1525699688951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525699690246
