what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525352201501
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1525352204813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525352209995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353798085
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353801301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353965320
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525353969178
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1525353969209
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525353969209
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1525353971241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353972772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353974537
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1525353974537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1525353974537
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353974552
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353977889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353980861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353993593
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525353996021
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353997413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353998777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525353999341
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354002921
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1525354004436
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354006782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354010617
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354010680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354015096
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354016256
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354016271
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354040288
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354040491
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354046644
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354046848
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354048398
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354048585
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354049415
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354049603
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354052148
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354052413
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1525354055899
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354055899
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1525354056806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354061226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354063241
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1525354063241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1525354063241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354063257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354066834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354069272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354070585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354071210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354071744
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354081577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354269136
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1525354274952
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1525354278881
