what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1524574584790
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1524574584790
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1524574584790
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1524574584790
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1524574584790
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1524574584790
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1524574584790
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1524574584790
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1524574584790
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1524574584790
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1524574584790
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1524574584790
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1524574584790
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1524574584790
os,sysinfo,,,"win32",1524574584790
arch,sysinfo,,,"x86",1524574584790
ws,sysinfo,,,"win32",1524574584790
locale,sysinfo,,,"pt_BR",1524574584790
processors,sysinfo,,,"4",1524574584790
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1524574584790
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1524574584790
java.specification.name,sysinfo,,,"Java Platform API Specification",1524574584790
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1524574584790
java.specification.version,sysinfo,,,"1.6",1524574584790
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1524574584790
java.version,sysinfo,,,"1.6.0_23",1524574584790
java.vm.info,sysinfo,,,"mixed mode",1524574584790
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1524574584790
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1524574584790
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1524574584790
java.vm.specification.version,sysinfo,,,"1.0",1524574584790
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1524574584790
java.vm.version,sysinfo,,,"19.0-b09",1524574584790
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1524574584899
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1524574585196
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1524574586399
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1524574586399
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1524574586539
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1524574586539
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1524574586539
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1524574586539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574586711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524574606681
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524574606915
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524574607086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1524574607258
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1524574620738
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1524574627337
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1524574627368
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1524574628211
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1524574628694
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574632813
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1524574633873
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1524574634279
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1524574634279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574635636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574644887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574645152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1524574645823
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1524574652533
